day,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,play
D1,0,0,0,1,0,1,0,0,0,0,0
D2,1,0,1,1,0,1,0,1,1,0,0
D3,1,0,1,1,0,1,0,0,1,1,0
D4,1,1,0,1,0,1,1,1,0,0,0
D5,0,0,1,1,0,1,1,1,1,0,0
D6,0,1,0,0,0,0,0,0,0,0,0
D7,0,0,0,1,1,1,1,1,0,1,0
D8,1,0,0,1,0,1,1,0,0,1,0
D9,0,1,0,0,0,0,0,0,0,0,0
D10,1,0,0,1,0,1,0,0,0,0,0
D11,1,1,0,1,0,1,1,1,0,0,0
D12,1,1,1,1,0,1,0,0,0,1,0
D13,1,1,0,1,0,1,0,1,0,1,0
D14,1,0,0,1,0,1,1,1,0,0,0
D15,0,1,0,1,1,1,0,0,0,1,0
D16,0,1,1,1,1,1,0,1,0,0,0
D17,0,0,0,1,0,1,0,0,0,1,0
D18,1,0,0,1,0,1,0,1,0,0,0
D19,0,0,0,1,0,0,1,1,0,0,0
D20,1,1,1,1,0,1,0,0,1,1,0
D21,1,0,0,1,0,1,0,0,0,0,0
D22,1,1,1,1,1,1,0,1,1,0,0
D23,0,0,0,1,0,1,0,1,0,0,0
D24,0,0,1,1,1,1,0,1,0,0,0
D25,0,0,1,1,0,1,0,0,1,0,0
D26,0,0,0,1,0,1,0,0,0,0,0
D27,0,1,0,1,1,1,1,1,0,0,0
D28,1,0,0,1,0,1,0,0,0,0,0
D29,1,1,0,1,0,1,1,0,0,1,0
D30,1,0,1,1,1,1,0,1,1,0,0
D31,0,0,1,1,0,1,0,0,0,0,0
D32,0,0,0,1,1,0,0,1,0,0,0
D33,1,1,1,1,0,1,0,1,1,0,0
D34,1,0,0,1,0,1,1,1,0,0,0
D35,1,0,0,1,1,1,0,1,0,1,0
D36,0,1,1,1,0,0,1,1,1,1,0
D37,1,0,0,1,1,1,0,1,0,0,0
D38,0,0,0,1,1,0,0,1,0,0,0
D39,1,0,1,1,0,1,0,0,0,0,0
D40,0,0,1,1,0,1,0,1,0,1,0
D41,1,1,0,1,0,1,1,1,0,1,0
D42,1,0,0,1,0,1,1,1,0,0,0
D43,0,0,0,1,0,1,0,0,0,0,0
D44,0,0,0,1,0,1,0,1,0,0,0
D45,1,0,1,1,0,1,0,1,1,1,0
D46,1,1,0,1,1,1,0,1,0,1,0
D47,1,0,0,1,0,1,0,1,0,0,0
D48,1,0,1,1,1,1,0,1,0,1,0
D49,1,0,0,1,0,1,0,1,0,0,0
D50,1,0,1,1,0,1,0,0,0,0,0
D51,0,0,1,1,0,0,0,0,1,0,0
D52,0,0,0,1,1,1,0,0,0,0,0
D53,1,1,1,1,0,1,0,0,0,1,0
D54,0,0,0,1,0,1,0,1,0,0,0
D55,1,0,0,1,1,1,1,1,0,0,0
D56,1,0,0,1,0,1,0,1,0,0,0
D57,0,1,1,1,0,1,0,0,1,1,0
D58,0,0,1,1,1,0,1,0,0,1,0
D59,1,0,1,1,1,1,0,1,0,0,0
D60,1,0,0,1,0,1,0,1,0,0,0
D61,0,0,0,1,1,0,0,1,0,0,0
D62,0,0,1,1,0,1,0,1,1,0,0
D63,1,0,0,1,0,1,0,0,0,0,0
D64,0,1,0,1,0,1,0,0,0,1,0
D65,1,0,1,1,0,1,0,0,1,0,0
D66,1,0,0,1,0,1,0,1,0,0,0
D67,1,0,1,1,0,1,0,0,1,0,0
D68,0,0,0,1,0,0,0,1,0,0,0
D69,1,0,0,1,1,1,0,1,0,1,0
D70,0,1,1,1,0,1,1,0,1,0,0
D71,1,0,1,1,0,1,0,0,1,1,0
D72,1,0,0,1,1,1,0,1,0,0,0
D73,0,0,0,1,1,1,1,1,0,0,0
D74,1,0,0,1,0,1,0,0,0,0,0
D75,0,1,0,1,0,1,1,1,0,0,0
D76,0,0,1,1,0,0,0,0,1,0,0
D77,1,0,1,1,1,1,1,1,0,0,0
D78,0,1,1,1,0,1,1,0,0,1,0
